Epoch,Train Accuracy,Train Accuracy Std,Test Accuracy,Test Accuracy Std,Loss,Loss Std
81,0.40298507462686567,0.022506690227211044,0.4366,0.0033684241110251397,0.1416924195503121,0.0003595122013957632
82,0.4541577825159915,0.02318103693714716,0.4394,0.0034480800742365423,0.14192907061022736,0.0003318974333434255
83,0.43070362473347545,0.023161578872495134,0.4401,0.003520847005531994,0.1422285957377094,0.000305223798760829
84,0.4520255863539446,0.023499769022732007,0.4393,0.00341089649154486,0.14246510917634597,0.00027194795646232143
85,0.40085287846481876,0.024222522739776407,0.4409,0.0020479782411034226,0.14340385996393049,0.0004558692193113098
86,0.4200426439232409,0.024384848000478826,0.4346,0.002211876283659397,0.14240203880424948,0.00043561855664082266
87,0.42430703624733473,0.024431028550654113,0.4373,0.0019535515443324402,0.14255385941216178,0.0004120572009068291
88,0.42430703624733473,0.024026284834031665,0.4443,0.0025778137960182717,0.14254501979869566,0.0004158740252447063
89,0.3795309168443497,0.025972579396320302,0.4368,0.0025778137960182712,0.14233457133459892,0.0004157715999093762
90,0.4541577825159915,0.02571233091496868,0.4359,0.0025870625353832184,0.14277711666342038,0.0004217515806332667
91,0.4690831556503198,0.026010164269564432,0.4269,0.004221863596968162,0.14231957955909436,0.0004216561114376411
92,0.4925373134328358,0.03042793282097568,0.4428,0.004475202567094469,0.1421118182445894,0.00036963896553621846
93,0.4605543710021322,0.030818097646413283,0.4416,0.004580014074827699,0.14347637833944007,0.0004299532072448548
94,0.40085287846481876,0.03252866345078546,0.4394,0.004558363487694944,0.14278069429242535,0.0004154575636187685
95,0.4968017057569296,0.036978506563831476,0.4387,0.00454801745928018,0.14291295240809923,0.00041710571226028886
96,0.42430703624733473,0.03539086812491476,0.4374,0.004463275304782461,0.14348838978738926,0.00043069720801033206
97,0.43283582089552236,0.03490340266050746,0.4379,0.004348135346529074,0.14327222977810578,0.000448223260857953
98,0.4072494669509595,0.036005528888548334,0.4401,0.004376250706704754,0.14261059839524695,0.0004459194710520237
99,0.4690831556503198,0.03650606866714705,0.4423,0.004161353085732122,0.14330904865696995,0.0004624087328137169
